"review_id","market_id","polymarket_event_id","condition_id","gamma_title","gamma_outcome_0","gamma_token_0","gamma_outcome_1","gamma_token_1","gamma_market_end_utc","clob_game_start_utc","best_of","leaguepedia_match_id","leaguepedia_start_utc","leaguepedia_team_1","leaguepedia_team_2","leaguepedia_team_1_outcome_index","start_delta_seconds","expected_status","manual_result","error_class","review_notes"
"11","3418645","815426","0x66cda9d88d83494bac54e853748110404eda6dd5a92a2e4a0ed62b318cb98bc3","LoL: Kaufland Hangry Knights vs G2 NORD (BO3) - Prime League 1st Division Group B","Kaufland Hangry Knights","45695834324145177152167070502209496612857476227879094325638881690325730921071","G2 NORD","106139470932350369499559733515201102482346152600979875165753018885381424170757","2026-08-11T21:00:00Z","2026-08-11T15:00:00Z","3","Prime League 1st Division/2026 Season/Summer Split_Week 7_1","2026-08-11T15:00:00Z","Kaufland Hangry Knights","G2 NORD","0","0","Matched","verified_correct","none","teams/BO/start verified; normalized identity"
"12","3509857","832228","0x2ea873d5df20f005f1f5efab0defd82c08dbf756d4ec267ae0df7ca40f789cc1","LoL: NightBirds vs Onion Team (BO3) - Hitpoint Masters Regular Season","NightBirds","18803873370810142288885851037763743892049436493582657152473381054594524225349","Onion Team","109948728711244916753110669673193368053045782325643440505128551961198148067438","2026-08-11T20:30:00Z","2026-08-11T14:30:00Z","3","Hitpoint Masters/2026 Season/Summer Split_Week 1_1","2026-08-11T14:00:00Z","Nightbirds","Onion Team","0","1800","NeedsReview","correctly_escalated","start_time_conflict","same teams and BO; start differs 1800 seconds"
"13","3494075","828830","0x45a5bdf9359a730d3dcb814cb34e2ec8527ace22521b53b9f6b067b17a218324","LoL: Hanwha Life Esports vs DN SOOPers (BO5) - KeSPA Cup Playoffs","Hanwha Life Esports","21223226011943147995787591472366702123511343160408904343308111540440246076026","DN SOOPers","48827028097068649868170398414008921004131836667843900022685130161593646343931","2026-08-11T15:00:00Z","2026-08-11T09:00:00Z","5","2026 LoL KeSPA Cup_Quarterfinals_1","2026-08-11T09:00:00Z","Hanwha Life Esports","DN SOOPers","0","0","Matched","verified_correct","none","teams/BO/start verified; normalized identity"
"14","3478760","826345","0x100a57df1d9571dd2873a3636cabf5a511919fffd39aae635c54ec62a5af9990","LoL: Uwinks vs L Guide Gaming (BO5) - LJL Playoffs","Uwinks","56160136260272691533734320250550060356422078738961239629781898758939699789387","L Guide Gaming","57843969761247638377712321961925014053224287337830818924954615700617845851928","2026-08-11T14:10:00Z","2026-08-11T08:10:00Z","5","LJL/2026 Season/Summer Championship_Round 3_1","2026-08-11T08:00:00Z","Uwinks","L Guide Gaming","0","600","NeedsReview","correctly_escalated","start_time_conflict","same teams and BO; start differs 600 seconds"
"15","3370489","803536","0x6d88091fefece8299156dd45cb93de745b7e0637a4b0667a65432956a0530dac","LoL: LOS vs paiN Gaming (BO3) - CBLOL Regular Season","LOS","86910606452383802642188092774769472505888608834297154564441963548063782997546","paiN Gaming","113903898319024979324015402517033803159846206726458252033008435090652199877889","2026-08-11T05:00:00Z","2026-08-10T23:00:00Z","3","CBLOL/2026 Season/Split 2_Week 3_8","2026-08-10T23:00:00Z","LØS","paiN Gaming","0","0","Matched","verified_correct","none","teams/BO/start verified; explicit alias"
"16","3409360","812858","0xc53b9aa10169ac7e9f3010527d40d70dac1e641cba0cf1b63c95d44dae93f79e","LoL: Leviatan Esports vs RED Canids (BO3) - CBLOL Regular Season","Leviatan Esports","89024595757038494332641694762244778634558127292492915605541302715615317350845","RED Canids","35682952919335242661046387220043880947177431209654780791692959774051104159006","2026-08-11T03:00:00Z","2026-08-10T21:00:00Z","3","CBLOL/2026 Season/Split 2_Week 3_7","2026-08-10T21:00:00Z","Leviatan","RED Canids","0","0","Matched","verified_correct","none","teams/BO/start verified; explicit alias"
"17","3450309","821644","0x09ce4f4b968f71d2c670279ec9a00bc81560febaff6bd20affef2118e6b08a8b","LoL: Arctic Pandas vs Brod n Friends (BO3) - NLC Regular Season","Arctic Pandas","104003272382320788495418417094360037871483503338432471256175756550653101062216","Brod n Friends","13616448602713622146948999910841622633206717504044885657242487218280233268462","2026-08-11T00:15:00Z","2026-08-10T18:15:00Z","3","NLC/2026 Season/Summer Split_Swiss Round 4_3","2026-08-10T18:00:00Z","Arctic Pandas","Brod n Friends","0","900","NeedsReview","correctly_escalated","start_time_conflict","same teams and BO; start differs 900 seconds"
"18","3450275","821643","0x1ad9e701dbacac8048a96a98755140b105a54d495dc4dccec5416a7f661bb779","LoL: Bulldog Esports vs B2U (BO3) - NLC Regular Season","Bulldog Esports","64901414945069196414724474386073201703553635849311859400422912729383951170907","B2U","18225860986537706305659456185834996395434695860937526094531802516453414349380","2026-08-10T23:30:00Z","2026-08-10T17:30:00Z","3","NLC/2026 Season/Summer Split_Swiss Round 4_2","2026-08-10T17:00:00Z","Bulldog Esports","B2U","0","1800","NeedsReview","correctly_escalated","start_time_conflict","same teams and BO; start differs 1800 seconds"
"19","3356706","800504","0xa323f34fe99ba7a8307a8b0f5901a96222e0439191f8ac4f939cf2d8077736c6","LoL: Natus Vincere vs G2 Esports (BO3) - LEC Regular Season","Natus Vincere","17771590952782401867192365495826233581778552174841688769153226095400284547361","G2 Esports","30106366299621012510236411942589270906556580988391274456937138601999685954111","2026-08-10T22:50:00Z","2026-08-10T16:50:00Z","3","LEC/2026 Season/Summer Season_Week 3_8","2026-08-10T17:15:00Z","Natus Vincere","G2 Esports","0","1500","NeedsReview","correctly_escalated","start_time_conflict","same teams and BO; start differs 1500 seconds"
"20","3450253","821642","0x940c2443ba1f92b2fc0bc56c628ca1379d1c2b8c5fa8d9c512b2c2a680dadc43","LoL: The Ruddy Sack vs Lundqvist Lightside (BO3) - NLC Regular Season","The Ruddy Sack","96124531318707029640158599890522217950500981550877508531099966597914139683102","Lundqvist Lightside","10384854776225954398293407339811800465726851071008938773970139814534554961595","2026-08-10T22:00:00Z","2026-08-10T16:00:00Z","3","NLC/2026 Season/Summer Split_Swiss Round 4_1","2026-08-10T16:00:00Z","Ruddy Corporation","Lundqvist Lightside","0","0","Matched","verified_correct","none","teams/BO/start verified; explicit alias"
